Customer_Name,Last_Order_Date,Frequency,Monetary,Total_Profit,Avg_Discount,Total_Quantity,Recency,Cluster
Aaron Bergman,2011-05-28,5,11630.589999999998,3025.84,0.032857142857142856,168,583,0
Aaron Hawkins,2011-12-29,9,27690.7255,5961.41,0.05666666666666667,370,368,1
Aaron Smayling,2012-01-19,8,8835.3235,2114.4,0.04285714285714286,303,347,0
Adam Bellavance,2012-10-02,8,11577.58,-181.93999999999994,0.045000000000000005,333,90,0
Adam Hart,2012-12-11,18,26114.2645,4071.84,0.05444444444444444,506,20,1
Adam Shillingsburg,2011-08-11,10,20059.6755,2620.75,0.050833333333333335,343,508,0
Adrian Barton,2012-05-28,2,23088.5345,-11853.029999999999,0.044000000000000004,84,217,0
Adrian Hane,2012-06-12,3,795.82,-97.49,0.07,106,202,0
Adrian Shami,2012-11-26,5,4615.54,-1291.52,0.049999999999999996,130,35,0
Aimee Bixby,2011-09-23,2,2913.65,395.71,0.045,131,465,0
Alan Barnes,2012-10-06,10,17328.985500000003,4252.26,0.05357142857142857,289,86,1
Alan Dominguez,2012-02-19,5,16282.756500000001,-6310.540000000001,0.04666666666666667,147,316,0
Alan Haines,2012-12-27,8,28060.799,5661.699999999999,0.060000000000000005,425,4,1
Alan Hwang,2012-11-11,17,26217.9035,-34.49000000000011,0.0437037037037037,689,50,1
Alan Schoenberger,2012-06-12,5,44571.925,6753.61,0.064,320,202,1
Alan Shonely,2012-10-28,4,5907.208500000001,766.03,0.0642857142857143,174,64,0
Alejandro Ballentine,2012-01-04,5,15672.391500000002,942.9500000000002,0.034444444444444444,258,362,0
Alejandro Grove,2012-09-01,9,83561.93,20588.92,0.04928571428571429,415,121,1
Alejandro Savely,2010-12-13,4,16337.61,2248.49,0.044,169,749,0
Aleksandra Gannaway,2011-12-18,10,22097.627500000002,1486.8600000000001,0.05888888888888889,556,379,1
Alex Avila,2012-12-09,9,19583.8605,1338.47,0.055714285714285716,410,22,1
Alex Grayson,2012-02-14,7,25658.761,4078.04,0.05333333333333334,481,321,1
Alex Russell,2012-12-26,8,7813.323,1487.2199999999998,0.048,279,5,0
Alice McCarthy,2012-04-18,7,12924.486,1477.61,0.062,290,257,0
Allen Armold,2012-08-30,4,6410.46,948.9699999999999,0.054285714285714284,189,123,0
Allen Golden,2012-08-29,4,4582.392,525.73,0.04,159,124,0
Allen Rosenblatt,2012-11-29,6,6367.8085,441.65000000000003,0.065,136,32,0
Alyssa Crouse,2012-11-30,6,10921.692000000001,-5772.0,0.05375,184,31,0
Alyssa Tate,2012-02-09,5,1235.3125,-523.72,0.06,111,326,0
Amy Cox,2012-05-25,12,11448.06,1340.61,0.042105263157894736,442,220,1
Amy Hunt,2012-10-30,16,26205.389499999997,3636.29,0.051500000000000004,495,62,1
Andrew Allen,2012-02-02,5,8006.9605,2412.5499999999997,0.03571428571428571,154,333,0
Andrew Gjertsen,2012-09-08,3,1406.3400000000001,92.84,0.05,111,114,0
Andrew Roberts,2012-11-21,9,24823.956000000002,724.6599999999999,0.04214285714285714,398,40,1
Andy Gerbode,2011-12-17,5,11498.087,1757.46,0.06142857142857143,177,380,0
Andy Reiter,2012-08-08,6,37037.880000000005,14681.2,0.048,199,145,1
Andy Yotov,2010-08-11,3,2635.35,-399.1,0.04,81,873,0
Anemone Ratner,2012-10-04,6,11764.877499999999,-57.199999999999925,0.05583333333333334,287,88,0
Angele Hood,2012-11-04,3,15650.15,1408.59,0.06333333333333334,73,57,0
Ann Blume,2012-12-23,7,7060.98,-2356.5,0.0475,205,8,0
Ann Chong,2012-03-03,3,7276.6235,1457.29,0.05285714285714286,126,303,0
Ann Steele,2012-12-09,7,14490.0185,-1153.9699999999998,0.064,257,22,0
Anna Andreadi,2012-12-29,7,9639.532,308.47000000000014,0.0475,194,2,0
Anna Chung,2012-09-02,3,1310.385,-759.24,0.030000000000000002,54,120,0
Anna Gayman,2010-02-10,3,1736.1284999999998,-127.75999999999999,0.05333333333333334,68,1055,0
Anna Haberlin,2011-08-30,4,10000.316499999999,-376.22999999999985,0.05285714285714286,217,489,0
Anne McFarland,2012-03-01,2,459.93,102.53999999999999,0.005,27,305,0
Anne Pryor,2012-07-18,12,27215.451,-1821.6699999999998,0.042105263157894736,417,166,1
Annie Cyprus,2011-08-31,4,6874.5905,985.94,0.0475,177,488,0
Annie Thurman,2012-12-21,12,16764.8725,2755.73,0.05263157894736842,400,10,1
Anthony Garverick,2011-02-18,7,12532.470500000001,-374.6999999999999,0.04555555555555556,250,682,0
Anthony Jacobs,2011-01-05,1,1029.47,-8.120000000000005,0.01,19,726,0
Anthony Johnson,2011-08-19,7,11276.62,1459.21,0.0375,259,500,0
Anthony O'Donnell,2012-09-22,8,25261.2195,7577.639999999999,0.042,242,100,1
Anthony Rawles,2012-10-25,10,33418.649,1488.72,0.05416666666666667,367,67,1
Anthony Witt,2012-12-24,4,11434.64,-1568.3700000000001,0.05,177,7,0
Arianne Irving,2012-01-13,7,9516.262999999999,979.54,0.06777777777777777,233,353,0
Art Ferguson,2012-12-02,7,23839.863999999998,1827.6399999999999,0.051666666666666666,345,29,0
Art Foster,2012-12-28,11,19002.9675,2692.63,0.05333333333333334,343,3,1
Art Miller,2012-04-16,8,25643.8315,1585.09,0.047692307692307694,245,259,0
Arthur Gainer,2011-03-10,6,18765.065,3388.9,0.04666666666666667,291,662,0
Arthur Prichep,2012-10-15,10,24198.182,-1679.5900000000001,0.04153846153846154,326,77,1
Arthur Wiediger,2012-09-05,3,13690.79,1042.9499999999998,0.04,170,117,0
Ashley Jarboe,2012-08-12,13,23835.046000000002,5336.23,0.05,495,141,1
Astrea Jones,2012-06-11,8,7290.117,-2741.61,0.06416666666666666,187,203,0
Barbara Fisher,2012-07-28,8,19473.143500000002,1053.0900000000001,0.0625,402,156,1
Barry Blumstein,2012-02-05,6,16694.448,3485.73,0.04083333333333333,338,330,0
Barry Franz,2012-09-06,6,24113.15,7648.05,0.05333333333333334,184,116,0
Barry French,2012-10-01,3,15179.61,-1425.9699999999998,0.037500000000000006,160,91,0
Barry Gonzalez,2012-10-29,15,60682.967,8583.59,0.04666666666666667,613,63,1
Barry Pond,2012-06-22,5,4967.58,92.25999999999999,0.054285714285714284,227,192,0
Barry Weirich,2012-12-07,8,40124.99,4784.360000000001,0.05,164,24,1
Bart Folk,2012-11-17,4,3960.31,-954.02,0.05714285714285715,199,44,0
Bart Pistole,2012-02-11,2,1220.1399999999999,185.51,0.035,55,324,0
Bart Watters,2012-12-03,5,18834.2155,4821.9800000000005,0.008,174,28,0
Becky Castell,2012-08-28,4,6868.3105,-215.77000000000007,0.05714285714285715,152,125,0
Becky Martin,2012-08-28,3,23289.899,4199.01,0.062,175,125,0
Becky Pak,2012-10-14,8,50378.1595,11765.16,0.06461538461538462,304,78,1
Ben Ferrer,2012-04-29,5,2977.9880000000003,-1090.1200000000003,0.06666666666666667,134,246,0
Ben Peterman,2012-10-28,5,14044.8845,2519.59,0.030000000000000002,163,64,0
Ben Wallace,2011-12-10,7,29600.030000000002,1161.3400000000001,0.043750000000000004,210,387,0
Benjamin Farhat,2012-11-12,7,23000.75,8394.960000000001,0.06666666666666668,363,49,1
Benjamin Patterson,2012-10-23,8,9358.584499999999,-1964.76,0.05700000000000001,160,69,0
Benjamin Venier,2012-05-13,9,42624.297,5079.57,0.034545454545454546,344,232,1
Berenike Kampe,2012-03-03,5,11540.967,1278.5,0.04,305,303,0
Beth Fritzler,2011-11-20,4,15287.673,306.6099999999999,0.0475,240,407,0
Beth Paige,2011-05-30,4,7105.945,1406.63,0.0575,254,581,0
Beth Thompson,2012-10-23,12,27214.947,-1518.4500000000003,0.051500000000000004,453,69,1
Bill Donatelli,2012-10-13,14,33880.274,4982.06,0.0416,620,79,1
Bill Eplett,2012-08-19,14,28075.790999999997,-1285.52,0.0355,407,134,1
Bill Overfelt,2012-05-25,7,24272.386000000002,651.78,0.05545454545454545,296,220,0
Bill Shonely,2012-09-27,7,16405.348,1210.6399999999999,0.057692307692307696,344,95,0
Bill Stewart,2012-09-23,4,4652.33,-2305.2,0.06333333333333334,92,99,0
Bill Tyler,2010-06-01,3,25276.14,4934.97,0.044,144,944,0
Bobby Elias,2012-08-14,9,26977.4575,1830.1499999999999,0.051875000000000004,381,139,1
Bobby Odegard,2012-11-15,8,9969.365,554.9399999999998,0.049090909090909095,288,46,0
Bobby Trafton,2012-12-09,11,31179.3485,2724.71,0.053157894736842105,644,22,1
Brad Eason,2012-10-08,7,7703.360000000001,-473.36,0.05909090909090909,320,84,0
Brad Norvell,2012-05-03,4,8982.561,937.4300000000001,0.037142857142857144,126,242,0
Brad Thomas,2012-12-27,24,36909.514,1573.2299999999998,0.047428571428571424,868,4,1
Bradley Drucker,2012-12-28,10,27911.61,4899.86,0.052941176470588235,456,3,1
Bradley Nguyen,2011-05-09,5,6970.43,-973.13,0.05000000000000001,192,602,0
Bradley Talbott,2012-11-08,4,2655.2400000000002,-2830.79,0.04,92,53,0
Brenda Bowman,2012-03-14,8,18873.73,-533.21,0.031,227,292,0
Brendan Dodson,2012-05-21,6,17576.67,3606.8399999999997,0.04875,162,224,0
Brendan Murry,2012-10-30,8,29294.96,3151.88,0.04416666666666667,336,62,1
Brendan Sweed,2012-07-27,7,23187.8,3663.7,0.034545454545454546,238,157,0
Brian Dahlen,2012-04-08,4,8989.49,-297.24000000000007,0.08833333333333333,177,267,0
Brian DeCherney,2012-08-09,6,3607.58,-248.78,0.05625,217,144,0
Brian Derr,2012-03-28,2,12976.4,207.08999999999997,0.03,154,278,0
Brian Moss,2012-03-04,8,11195.684,528.5699999999999,0.03833333333333334,312,302,0
Brian Stugart,2012-09-03,10,25889.96,1023.3500000000001,0.0425,356,119,1
Brian Thompson,2011-07-12,4,1653.25,250.17999999999998,0.038,128,538,0
Brooke Gillingham,2012-08-07,6,35679.28,7426.879999999999,0.05444444444444445,206,146,1
Brosina Hoffman,2011-10-06,3,24125.39,568.8700000000008,0.051666666666666666,151,452,0
Bruce Degenhardt,2011-06-28,5,21475.2185,1884.1999999999998,0.052000000000000005,360,552,0
Bruce Money,2012-04-10,3,1167.03,-128.05,0.006666666666666667,55,265,0
Bruce Stewart,2012-11-07,6,7739.62,1765.38,0.022,254,54,0
Bryan Davis,2012-08-05,3,2354.7,-328.18,0.05333333333333334,73,148,0
Bryan Mills,2011-08-10,6,20691.289,4621.239999999999,0.04125,211,509,0
Bryan Spruell,2012-11-22,8,7428.2390000000005,-88.39000000000007,0.035,296,39,0
Candace McMahon,2012-04-17,8,3429.75,-168.5,0.05222222222222222,286,258,0
Cari MacIntyre,2012-12-04,9,35594.996,3601.5300000000007,0.0475,420,27,1
Cari Sayre,2012-05-30,11,50702.966499999995,4816.79,0.054375,445,215,1
Cari Schnelling,2012-04-22,6,7915.03,1144.77,0.06,159,253,0
Carl Jackson,2012-11-21,4,14451.4165,3587.08,0.06,197,40,0
Carl Ludwig,2011-03-23,5,14143.66,-919.46,0.04625,166,649,0
Carl Weiss,2011-07-29,9,27483.391,3468.45,0.06571428571428571,494,521,1
Carlos Daly,2012-11-01,10,33724.7355,9218.449999999999,0.035,252,60,1
Carlos Meador,2012-03-23,12,30735.367,-3844.4500000000003,0.05238095238095238,512,283,1
Carlos Soltero,2012-10-30,20,55575.087999999996,-9.170000000000002,0.06060606060606061,896,62,1
Carol Adams,2012-04-08,4,5536.83,964.7099999999999,0.055,138,267,0
Carol Darley,2012-12-11,6,9930.7515,-1252.51,0.04777777777777778,276,20,0
Carol Triggs,2012-09-30,9,7060.3395,-1882.69,0.052727272727272734,258,92,0
Caroline Jumper,2012-09-16,9,19831.0765,601.81,0.06583333333333334,294,106,0
Cassandra Brandow,2012-10-13,4,2985.56,427.7,0.042499999999999996,103,79,0
Catherine Glotzbach,2012-10-31,7,4412.021,-752.85,0.051250000000000004,233,61,0
Cathy Armstrong,2012-08-18,7,23102.8425,-426.82000000000005,0.04076923076923077,355,135,0
Cathy Hwang,2009-10-01,2,4312.0335000000005,-102.03999999999999,0.065,94,1187,0
Cathy Prescott,2011-04-25,4,23227.850000000002,6940.27,0.0675,111,616,0
Chad Cunningham,2011-10-22,4,1486.1,534.43,0.05,124,436,0
Chad McGuire,2012-02-07,4,5121.92,902.4300000000001,0.05666666666666667,136,328,0
Chad Sievert,2012-10-28,6,29585.21,9008.97,0.051818181818181826,270,64,1
Charles Crestani,2012-02-18,10,40030.8255,5529.4400000000005,0.0475,455,317,1
Charles McCrossin,2012-06-26,5,25045.420000000002,6354.089999999999,0.047142857142857146,248,188,0
Charles Sheldon,2011-01-14,3,16978.666,297.47000000000025,0.045714285714285714,210,717,0
Charlotte Melton,2011-09-22,5,7188.12,2787.04,0.011666666666666667,151,466,0
Chloris Kastensmidt,2009-08-15,2,16178.89,2704.64,0.05,114,1234,0
Chris Cortes,2012-10-03,5,22077.733,-3615.1800000000003,0.0425,151,89,0
Chris McAfee,2011-01-17,2,350.18,69.2,0.025,29,714,0
Chris Selesnick,2012-05-11,5,9718.648,2893.1800000000003,0.028333333333333335,153,234,0
Christina Anderson,2012-05-06,5,25136.309999999998,322.0399999999997,0.03,259,239,0
Christina DeMoss,2012-03-26,5,17080.134,1272.44,0.05714285714285715,189,280,0
Christina Vanderzanden,2012-08-05,11,22776.318499999998,1467.0800000000002,0.05210526315789474,627,148,1
Christine Abelman,2012-10-24,9,45365.7505,7273.0,0.04294117647058823,471,68,1
